image_id,original_captions,generated_caption
2874876837_80d178ba9b.jpg,トランポリンで跳ね返る少年。 | トランポリンにジャンプする少年。 | 少年がトランポリンに飛び乗る。 | 白い長袖のTシャツを着た小さな男の子がトランポリンにジャンプします。 | 少年は家の外のトランポリンに飛び乗ります。,噴水で遊んでいる2人の子供。
636503038_17ca82b50f.jpg,3人の漁師は、岩を越えて水、湖、曇り空に向かって歩きます。 | 3人が水域の近くの岩の上に立っています。 | 3人が湖に向かって岩の上を歩いています。 | 3人は、水の近くの岩の上に釣り竿を置いて立っています。 | 岩に沿って歩いて魚に行きます,岩の多い山。
3163068926_d28ed3ef53.jpg,カップを持っている男がエレベーターに乗っています。 | 飲み物を持っている男がエスカレーターを降りてきています。 | 赤と白のカップを運んでいるエスカレーターの男。 | 飲み物を持っている若い男が緑のエスカレーターを下っています。 | エスカレーターに乗っている間見上げているカップの男,2人の男性が階段に座っています。
2599131872_65789d86d5.jpg,2人のブロンドの女の子が一緒に遊んでいます。 | 2人の女の子が自分の髪を吹き飛ばしながら、自分自身を楽しんでいます。 | トランポリンにジャンプする長い髪の2人の女の子。 | 2人の小さなブロンドの女の子が髪を回します。 | 2人の小さな女の子がトランポリンで遊んでいます。,髪を持つ2人の女の子。
2343879696_59a82f496f.jpg,子供は、彼のお母さんがゲーム中に彼を空中に投げ込んだとき、彼が飛んでいるように感じます。 | 白い女性が少年を空中に投げ込んでいます。 | 女性がふざけて空中で小さな子供を投げています。 | 女性が空中に幼児を投げます。 | 子供は母親によって空中に放り込まれるのを楽しんでいます。,空中に少年。
3542771548_fcb8fa0cba.jpg,小さなフェンスをジャンプする馬とライダー。 | 馬とライダーがフェンスを飛び越えます。 | 馬が木製のフェンスを飛び越えます。 | 馬の騎手がフェンスを跳びます。 | 木製のフェンスの上を飛び越える人のアケストリアンの馬。,馬がフェンスを飛び越えます。
3461677493_5bfb73038e.jpg,理髪師は男の髪を切っています。 | 背景に髪を切る男がいる花の美しいアレンジ | 背景に髪を切っている男がいる赤いバラの花瓶。 | ヘアカットを与えるバーバー。 | 2人の男性、1人は白、もう1人は青。,家族は、他の2人。
2196107384_361d73a170.jpg,黒い帽子をかぶっている男が建物の隣の道路に沿って歩きます。 | 長袖の黒いシャツを着た年配の男性は、石畳の通りだけを歩いています。 | 老人が混雑していない道を歩いています。 | 建物の前を歩いている人。 | 男は茶色の建物の近くを歩いています。,2人の男性が駐車場の階段に座っています。
2456615908_59cdac6605.jpg,黒犬は、フェンスを飛び越えるときに鳥を口に入れます。 | 彼の口の中に死んだ鳥をつけてワイヤーフェンスをジャンプする黒い犬。 | 口の中に鳥を抱きしめ、フェンスを跳びます。 | 口の中に何かを入れてワイヤーフェンスをジャンプしようとしている犬。 | 黒い犬は口の中に鳥を持ってフェンスを飛び越えています。,2匹の犬が草の中を走ります。
2089350172_dc2cf9fcf6.jpg,3匹の黒い犬が、口に黄色い物体がある濁った茶色の水を泳いでいます。 | 汚れた水で泳いでいる3匹の黒い犬 | 3匹の暗い犬が泳いでいて、そのうちの1人はボールを持っています。 | 3匹の犬は水中の首に載っています。 | 3匹の犬が水中で泳ぎます。,2匹の犬は、水で泳いでいます。
3116731299_6139b25c18.jpg,小さな犬が彼の口に小さな棒を運びます。 | 小さな犬が口に小さな小枝を運んでいます。 | 小さな犬が小さな棒を取得しています。 | 小さな犬が口に棒を運んでいます。 | 小さな犬が口に棒を運んで緑の草の上を歩いています。,2匹の犬が草の中を走ります。
