image_id,original_caption,generated_caption
1000092795.jpg,"બે યુવાન છોકરાઓ, જેમના વાળ ખરબચડા છે, તેઓ આંગણામાં ફરતા હોય ત્યારે તેમના હાથ તરફ જુએ છે.",એક પુરુષ અને એક સ્ત્રી બહાર રમી રહ્યા છે.
10002456.jpg,હાર્ડ ટોપી પહેરેલા ઘણા માણસો એક વિશાળ પુલી સિસ્ટમ ચલાવી રહ્યા છે.,બે માણસો એક મોટા મશીન પર કામ કરી રહ્યા છે.
1000268201.jpg,ગુલાબી ડ્રેસ પહેરેલો એક બાળક પ્રવેશદ્વારમાં સીડીઓ ચઢી રહ્યો છે.,ગુલાબી ડ્રેસ પહેરેલી એક નાની છોકરી લાકડાના લાકડા પર ઉભી છે.
1000344755.jpg,વાદળી શર્ટ અને ટોપી પહેરેલો કોઈ વ્યક્તિ સીડી પર બારી સામે ઝૂકીને ઊભો છે.,વાદળી શર્ટ પહેરેલો એક માણસ સીડી પર ઊભો છે.
1000366164.jpg,"બે માણસો, એક ગ્રે શર્ટમાં, એક કાળા શર્ટમાં, ચૂલા પાસે ઉભા હતા.",રસોડામાં બે માણસો રસોઈ બનાવી રહ્યા છે.
1000523639.jpg,ફોટામાં બે લોકો ગિટાર વગાડી રહ્યા છે અને બીજો તેના પર મુક્કા મારી રહ્યો છે.,બે માણસો ગિટાર વગાડી રહ્યા છે.
1000919630.jpg,એક માણસ ખુરશીમાં બેઠો છે અને સિંહના મોટા ભરાયેલા પ્રાણીને પકડી રહ્યો છે.,એક માણસ એક મોટી લાકડી પકડીને બેઠો છે.
10010052.jpg,એક છોકરી પાર્કિંગમાં ઉભી રહીને રોલરસ્કેટ પર પોતાના સેલફોન પર વાત કરી રહી છે.,વાદળી શર્ટ પહેરેલી એક સ્ત્રી ફૂટપાથ પર ઉભી રહીને સેલફોન પર વાત કરી રહી છે.
1001465944.jpg,કાળા રંગના સૂટ પહેરેલો એક એશિયન પુરુષ એક કાળા વાળવાળી સ્ત્રી અને ભૂરા વાળવાળી સ્ત્રીની પાસે ઉભો છે.,એક પુરુષ અને એક સ્ત્રી બહાર ઉભા છે.
1001545525.jpg,જર્મનીમાં બે માણસો શર્ટ વગર એક જ સમયે રેલ પરથી કૂદી રહ્યા છે.,સ્ટેજ પર બે માણસો.
1001573224.jpg,બારીમાંથી સૂર્યપ્રકાશ આવતા ડાન્સિંગ સ્ટુડિયોમાં પાંચ બેલે ડાન્સર્સે મધ્ય કૂદકો માર્યો.,સ્ટેજ પર ત્રણ નર્તકો નૃત્ય કરી રહ્યા છે.
1001633352.jpg,ત્રણ યુવાનો અને એક યુવતી સ્નીકર્સ પહેરેલા કોંક્રિટ સીડીની ટોચ પર હવામાં કૂદી રહ્યા છે.,ત્રણ માણસો સીડી પરથી કૂદી રહ્યા છે.
1001773457.jpg,શેરીમાં ભૂરા ડાઘવાળો એક કાળો કૂતરો અને એક સફેદ કૂતરો એકબીજા સામે જોઈ રહ્યા છે.,રસ્તા પર એક કાળો કૂતરો અને એક નાનો કાળો કૂતરો.
1001896054.jpg,પ્રતિબિંબીત સલામતી કપડાં અને કાનની સુરક્ષા પહેરેલો એક માણસ રસ્તા પર જોન ડીયર ટ્રેક્ટર ચલાવે છે.,લીલા રંગના પોશાક પહેરેલો એક માણસ ટ્રેક્ટર ચલાવી રહ્યો છે.
100197432.jpg,કેટલીક મહિલાઓ બસની સામે ઉભી છે જેની પાછળ ઇમારતો છે.,કાળા વાળવાળી એક સ્ત્રી રસ્તા પર ચાલી રહી છે.
100207720.jpg,કાળા વાળવાળી અને ચશ્મા પહેરેલી એક યુવતી ચાળણીનો ઉપયોગ કરીને કેક પર સફેદ પાવડર નાખી રહી છે.,કાળા શર્ટ પહેરેલી એક સ્ત્રી રસોડામાં રસોઈ બનાવી રહી છે.
1002674143.jpg,ઘાસમાં એક નાની છોકરી સફેદ કેનવાસની સામે આંગળીના રંગોથી રમે છે જેના પર મેઘધનુષ્ય છે.,એક નાની છોકરી ઘાસ પર બેઠી છે.
1003163366.jpg,બહાર બેન્ચ પર સૂતો એક માણસ અને તેની બાજુમાં એક સફેદ અને કાળો કૂતરો બેઠો છે.,એક માણસ બેન્ચ પર સૂઈ રહ્યો છે.
1003420127.jpg,"એક ઘરની અંદર, પુખ્ત વયના લોકોનું એક જૂથ, વર્તુળમાં ગોઠવાયેલી ખુરશીઓ પર બેઠેલું, એક પ્રકારના સંગીતનાં સાધનો વગાડતું.",ત્રણ લોકો ખુરશીઓમાં બેઠા છે.
1003428081.jpg,"બે મહિલાઓ, બંને ચશ્મા પહેરે છે, ક્લેરનેટ વગાડી રહી છે અને એક વૃદ્ધ મહિલા તારવાળું વાદ્ય વગાડી રહી છે.",એક પુરુષ અને સ્ત્રી ઓર્કેસ્ટ્રાનું સંચાલન કરી રહ્યા છે.
100444898.jpg,ગ્રે રંગનો એક વ્યક્તિ અંધારામાં બહાર એક માળખા પર એકલો ઊભો છે.,એક માણસ ટ્રેનના પાટા પાસે ઊભો છે.
1005216151.jpg,સફેદ ટી-શર્ટ પહેરેલો એક માણસ મેટ્રો સ્ટેશન પાસે ભીડથી ઘેરાયેલા કેમેરા તરફ જોઈ રહ્યો છે.,સફેદ ટી-શર્ટ પહેરેલો એક માણસ ભીડ સામે ઊભો છે.
100577935.jpg,કાળા શર્ટ અને સફેદ લેટેક્સ ગ્લોવ્ઝ પહેરેલો એક માણસ ટેટૂ ગનનો ઉપયોગ કરીને કોઈની પીઠ પર ટેટૂ કરાવી રહ્યો છે.,કાળા શર્ટ પહેરેલો એક માણસ કંઈક તરફ જોઈ રહ્યો છે.
1006452823.jpg,"બે બાળકો, એક છોકરી અને એક છોકરો તેમના લેખનનો અભ્યાસ કરી રહ્યા છે.",એક નાનો છોકરો અને છોકરી દરિયા કિનારે રમી રહ્યા છે.
100652400.jpg,વાદળી ટોપી અને નારંગી રંગનો સેફ્ટી વેસ્ટ પહેરેલો એક માણસ એક ચોક પર ધ્વજ પકડીને ઊભો છે.,એક માણસ શેરીમાં ધ્વજ પકડીને ઊભો છે.
1007129816.jpg,વીંધેલા કાનવાળા માણસે ચશ્મા અને નારંગી ટોપી પહેરી છે.,લાલ ટોપી પહેરેલો એક માણસ.
100716317.jpg,લાંબા ભૂખરા વાળવાળી એક વ્યક્તિ વાદળી રેઈનકોટ પહેરીને બેરેટ અને સફેદ રંગનો બેરેટ પહેરીને અન્ય કલાકારો અને ચિત્રોથી ઘેરાયેલા બજારના દૃશ્યો ચિત્રિત કરી રહી છે.,વાદળી કોટ પહેરેલી એક વૃદ્ધ સ્ત્રી ચિત્ર દોરે છે.
1007205537.jpg,એક માણસ કચરાપેટીને પકડીને એક પગ પર ઊભો છે.,વાદળી શર્ટ પહેરેલો એક માણસ પાણીમાં રમી રહ્યો છે.
1007320043.jpg,રમતના મેદાનમાં એક નાનું બાળક લાલ દોરડા પર પકડે છે.,એક નાની છોકરી લાલ દોરડા પર ચઢી રહી છે.
100759042.jpg,જેકેટ પહેરેલો યુવાન માણસ ટૂથપીક પકડીને છેડે કંઈક પકડી રહ્યો છે.,ભૂરા રંગનો શર્ટ પહેરેલો એક માણસ બેઠો છે.
10082347.jpg,વાદળી અને પીળા જેકેટમાં યુવાન સોનેરી રંગનો માણસ નેટ સામે ઊભો રહીને હસતો.,વાદળી શર્ટ પહેરેલો એક માણસ કંઈક જોઈ રહ્યો છે.
10082348.jpg,બેઝબોલ કેપ અને કાળા જેકેટ પહેરેલો એક માણસ બાથરૂમમાં કોફીનો મગ પકડીને ઉભો છે.,એક માણસ દાંત સાફ કરી રહ્યો છે.
100845130.jpg,પૃષ્ઠભૂમિમાં બહુરંગી આકાશ સાથે પાંચ લોકો ચાલતા.,સૂર્યાસ્ત સમયે લોકોનું એક જૂથ.
10090841.jpg,કાળા વાળવાળો એક માણસ રેસ્ટોરન્ટમાં બીયરનો ગ્લાસ લઈને બેઠો છે.,ચશ્મા પહેરેલો એક માણસ ટેબલ પર બેઠો છે.
1009434119.jpg,સફેદ વાડથી ઘેરાયેલા ઘાસના બગીચામાં એક કાળો અને સફેદ કૂતરો દોડી રહ્યો છે.,એક કૂતરો ઘાસ પર દોડી રહ્યો છે.
1009692167.jpg,રિફ્લેક્ટિવ વેસ્ટ પહેરેલો એક અધિકારી તેના કૂતરા સાથે તેની વાનની આગળ ઉભો છે.,એક માણસ તેના કૂતરાને ફરવા લઈ જઈ રહ્યો છે.
101001624.jpg,"જમીન પર બરફની """" સફેદ """" સ્થિતિ, ઠંડા હવામાન માટે સજ્જ ભારે જેકેટ અને લાલ ટોપી પહેરેલા ઉપનગરીય વિસ્તારમાં સાયકલ ચલાવતા માણસની વિગતોને લગભગ ભૂલી ગઈ હોય તેવું લાગે છે.",એક વ્યક્તિ બરફીલા રસ્તા પર બાઇક ચલાવી રહ્યો છે.
