image_id,original_captions,generated_caption
2874876837_80d178ba9b.jpg,Chłopiec podskakujący na trampolinie. | Chłopiec skaczący na trampolinę. | Chłopiec skacze na trampolinę. | Mały chłopiec w białej koszulce z długim rękawem skacze na trampolinę. | Chłopiec wskakuje na trampolinę poza domem.,Młody chłopiec w niebieskiej koszuli i czarnych spodniach gra na gitarze.
636503038_17ca82b50f.jpg,"Trzech rybaków przechodzili po skałach w kierunku wody, jeziora i mętnego nieba w tle. | Trzy osoby stoją na skałach w pobliżu zbiornika wodnego. | Trzy osoby idą po skałach w kierunku jeziora. | Trzy osoby stoją z biegunami rybacki na skałach w pobliżu wody. | Trzy osoby idące po skałach i chodzą na ryby",Dwie osoby stoją na brzegu rzeki.
3163068926_d28ed3ef53.jpg,"Mężczyzna trzymający kubek jeździ windą. | Mężczyzna trzymający drinka spada na schody ruchome. | Mężczyzna na schodach noszący czerwony i biały kubek, który patrzy w górę. | Młody mężczyzna z drinkiem idzie w dół zielonego schodów ruchomych. | Mężczyzna z kubkiem patrząc w górę podczas jazdy na schodach",Dwóch mężczyzn stoi w nocy.
2599131872_65789d86d5.jpg,"Dwie blond dziewczyny bawią się razem. | Dwie dziewczyny dobrze się bawią, podczas gdy wiatr wieje w ich włosy. | Dwie dziewczyny z długimi włosami skaczącymi na trampolinę. | Dwie małe blond dziewczyny kręcą włosy. | Dwie małe dziewczynki bawią się na trampolinie.",Dwie młode dziewczyny bawią się razem.
2343879696_59a82f496f.jpg,"Dziecko czuje się, jakby latał, gdy jego mama rzuca go w powietrze podczas gry. | Kobieta w bieli rzuca chłopca w powietrze. | Kobieta żartobliwie rzuca małe dziecko w powietrze. | Kobieta rzuca malucha w powietrze. | Dziecko lubi jeździć w powietrzu przez matkę.",Chłopiec wskakuje do wody.
3542771548_fcb8fa0cba.jpg,Koń i jeźdźca skaczą małe ogrodzenie. | Koń i jeździec skaczą nad ogrodzeniem. | Koń skacze nad drewnianym płotem. | Dżokej na koniu skacze ogrodzenie. | Osoba wodna konia przeskakuje nad drewnianym ogrodzeniem.,Brązowy i biały pies przeskakuje nad przeszkodą.
3461677493_5bfb73038e.jpg,"Fryzjer ścina włosy mężczyzny. | Piękna aranżacja kwiatów z mężczyzną, ścinając włosy w tle | Wazon czerwonych róż z mężczyzną wycinającym włosy w tle. | Fryzjer dający fryzurę. | Dwóch mężczyzn, jeden w kolorze białym, a drugi w kolorze niebieskim.",Dwóch mężczyzn stoi przed tłumem.
2196107384_361d73a170.jpg,Mężczyzna w czarnym kapeluszu idzie drogą obok budynku. | Starszy mężczyzna w czarnej koszuli z długim rękawem idzie samą brukowaną ulicą. | Stary człowiek schodzi po niekłaconej drodze. | Osoba idąca przed budynkiem. | Mężczyzna idzie w pobliżu brązowego budynku.,Dwóch mężczyzn gra na gitarze.
2456615908_59cdac6605.jpg,"Czarny pies nosi ptaka w usta, gdy skacze nad ogrodzeniem. | Czarny pies skaczący w drucianym ogrodzeniu z martwym ptakiem w ustach. | Pies, trzymający ptaka w ustach, skacząc ogrodzeniem. | Pies próbujący podskoczyć ogrodzenie z czymś w ustach. | Czarny pies skacze nad ogrodzeniem z ptakiem w ustach.",Czarny pies biegnie na trawie.
2089350172_dc2cf9fcf6.jpg,"Trzy czarne psy pływają przez mętną brązową wodę, jedną z żółtym przedmiotem w ustach. | Trzy czarne psy pływające w brudnej wodzie | Trzy ciemne psy pływające, a jeden z nich ma piłkę. | Trzy psy są do szyi w wodzie. | Trzy psy pływają w wodzie.",Dwa psy bawią się w wodzie.
3116731299_6139b25c18.jpg,"Mały pies nosi w ustach mały patyk. | Mały pies ma w ustach małą gałązkę. | Mały pies przynosi mały kij. | Mały pies nosi kij w ustach. | Mały pies idzie na zielonej trawie, niosąc patyk w ustach.",Mały brązowy pies biegnie na trawie.
