image_id,original_captions,generated_caption
2874876837_80d178ba9b.jpg,Un ragazzo che rimbalza su un trampolino. | Un ragazzo che salta su un trampolino. | Un ragazzo salta su un trampolino. | Un bambino in una maglietta bianca a maniche lunghe salta su un trampolino. | Il ragazzo salta sul trampolino fuori casa.,Un ragazzo salta su un trampolino.
636503038_17ca82b50f.jpg,"Tre pescatori camminano su rocce verso acqua, lago e cielo nuvoloso sullo sfondo. | Tre persone sono in piedi su rocce vicino a un corpo d'acqua. | Tre persone camminano sulle rocce verso un lago. | Tre persone stanno con pali da pesca sulle rocce vicino all'acqua. | Tre persone che camminano lungo le rocce, vanno a pescare",Un gruppo di persone è in piedi sulle rocce vicino all'acqua.
3163068926_d28ed3ef53.jpg,Un uomo che tiene una tazza cavalca un ascensore. | Un uomo che tiene un drink sta scendendo una scala mobile. | Un uomo su una scala mobile che portava in alto una tazza rossa e bianca. | Un giovane che tiene un drink sta andando giù per una scala mobile verde. | Uomo con tazza che guarda in alto mentre cavalca una scala mobile,Due persone sono in piedi su un treno.
2599131872_65789d86d5.jpg,Due ragazze bionde stanno giocando insieme. | Due ragazze si divertono mentre il vento soffia tra i capelli. | Due ragazze con capelli lunghi che saltano su un trampolino. | Due piccole ragazze bionde si girano i capelli. | Due bambine stanno giocando su un trampolino.,Due ragazze che giocano in un campo.
2343879696_59a82f496f.jpg,Un bambino si sente come se stesse volando mentre sua madre lo vomita in aria durante una partita. | Una donna in bianco sta gettando un ragazzo in aria. | Una donna sta lanciando un bambino piccolo nell'aria scherzosamente. | Una donna lancia un bambino in aria. | Al bambino piace essere gettato in aria da sua madre.,Un ragazzo che salta da un'altalena.
3542771548_fcb8fa0cba.jpg,Un cavallo e un cavaliere che saltano una piccola recinzione. | Un cavallo e un cavaliere saltano oltre una recinzione. | Un cavallo salta su una recinzione di legno. | Un fantino su un cavallo salta una recinzione. | Una persona a cavallo acquatico che salta su una recinzione di legno.,Un cavallo salta su una recinzione.
3461677493_5bfb73038e.jpg,"Un barbiere sta tagliando i capelli di un uomo. | Una bella disposizione di fiori con un uomo che taglia i capelli sullo sfondo | Un vaso di rose rosse con un uomo che taglia i capelli sullo sfondo. | Barber che dà un taglio di capelli. | Due uomini, uno in bianco e un altro in blu.",Un gruppo di persone è in piedi fuori da un negozio.
2196107384_361d73a170.jpg,Un uomo che indossa un cappello nero cammina lungo una strada accanto a un edificio. | Un uomo più anziano con una camicia nera a maniche lunghe sta camminando lungo una strada ciottolo da solo. | Un vecchio cammina lungo la strada non corrowded. | Una persona che cammina di fronte a un edificio. | L'uomo cammina vicino a un edificio marrone.,Un uomo cammina accanto a un edificio.
2456615908_59cdac6605.jpg,"Un cane nero porta un uccello in bocca mentre salta su una recinzione. | Un cane nero che salta una recinzione con un uccello morto in bocca. | Un cane, che tiene in bocca un uccello, saltando un recinto. | Un cane che cerca di saltare un recinto di filo con qualcosa in bocca. | Il cane nero sta saltando su una recinzione con un uccello in bocca.",Un cane nero sta saltando su un ostacolo.
2089350172_dc2cf9fcf6.jpg,"Tre cani neri nuotano attraverso un po 'di acqua marrone torbida, uno con un oggetto giallo in bocca. | Tre cani neri che nuotano in acqua sporca | Tre cani scuri che nuotano e uno di loro ha una palla. | Tre cani sono all'altezza del collo in acqua. | Tre cani nuotano in acqua.",Due cani nuotano in acqua.
3116731299_6139b25c18.jpg,Un piccolo cane porta un piccolo bastone in bocca. | Un piccolo cane porta in bocca un piccolo ramoscello. | Un piccolo cane che prende un piccolo bastone. | Un piccolo cane porta un bastone in bocca. | Un cagnolino cammina su erba verde che porta un bastone in bocca.,Un piccolo cane marrone chiaro corre attraverso l'erba.
3683592946_262e9bfbfd.jpg,Un uccello è in piedi su una roccia accanto ai suoi sei bambini. | Un'anatra mamma che cammina lungo alcune rocce con un gruppo di anatre. | Un'anatra adulta si trova su una roccia con sette anatre nelle vicinanze. | L'uccello madre guarda i suoi bambini. | C'è un'anatra cresciuta e diverse anatre.,Una persona che indossa una camicia bianca e pantaloni neri si trova su una roccia.
424869823_7aec015d87.jpg,Una bambina che le tiene la mano in modo che sembri l'arcobaleno finisce in mano. | Una ragazza di fronte a un arcobaleno. | Ragazze in posa con arcobaleno nel cielo. | La ragazza indossa un vestito blu e tiene la mano su un arcobaleno. | La ragazza si chinò per toccare l'arcobaleno.,Una ragazza si trova su una collina erbosa.
1105959054_9c3a738096.jpg,Un bambino che dipinge una foto. | Un artista dipinge le nuvole su una tela. | Una ragazza che dipinge una foto. | Una ragazza con le trecce dipinge con colori d'acqua su una carta bianca sul muro. | Il bambino dipinge su una grande carta con colori dell'acqua.,Una ragazza con una camicia blu si arrampica su una parete di arrampicata su roccia.
2158247955_484f0a1f11.jpg,I tre cani stanno correndo su una pista nevosa. | Tre cani corrono attraverso la neve con una pista per pneumatici. | Tre cani stanno girando la direzione lungo un battistrada da neve che conduce da un campo a basso taglio. | Tre cani corrono sulla neve. | Tre cani che corrono su binari di pneumatici nella neve.,Due cani corrono attraverso la neve.
2286823363_7d554ea740.jpg,Un bambino che salta da una sedia all'altra. | Un ragazzo salta da una sedia nera all'altra. | Un ragazzo sta saltando da una sedia all'altra. | Un giovane ragazzo che salta da una sedia all'altra in casa sua | Un ragazzo salta da una sedia a sedia.,Un ragazzo salta da una sedia.
2845691057_d4ab89d889.jpg,Una donna bionda tiene un ombrello sopra un autista di auto da corsa. | Una coppia fuori sotto la pioggia in una gara di stockcar in cui sta correndo. | Un uomo è seduto in una macchina da corsa vicino a una donna con un ombrello. | Una donna che tiene un ombrello sopra una persona in macchina da corsa. | Lady che tiene ombrello sopra l'autista di auto da corsa.,Un uomo con una camicia bianca e un cappello da cowboy sta cavalcando una macchina fotografica.
842960985_91daf0d6ec.jpg,"Un uomo con un trench beige sta camminando sotto la pioggia. | Un uomo con un trench marrone chiaro e jeans blu cammina con un ombrello nero aperto sopra la sua testa. | Un uomo in un trench sta camminando con un ombrello. | Un uomo con i capelli bianchi, un lungo trench e un ombrello cammina oltre un parcheggio. | Uomo che cammina con il suo ombrello in una strada desolata.",Un uomo con una camicia bianca e jeans blu cammina per strada.
3365602213_dd3287a633.jpg,Un bambino si arrampica su un percorso di corda. | Una bambina che arrampica su un apparato di corde. | Una ragazza che sale una scala di corda | I bambini arrampicano a una palestra della giungla. | Giovane ragazza e ragazzo attraversano un ponte di corda,Un bambino si arrampica su un albero.
2259203920_6b93b721ce.jpg,Una Fox Terrier salta dopo una palla. | Un piccolo cane su un guinzaglio salta verso una palla rosa | Un terrier che insegue una palla rossa. | Un cane bianco e marrone salta verso una palla rossa. | Piccolo cane bianco che indossa un guinzaglio che salta dopo una palla rossa.,Un cane bianco e nero sta saltando in aria per prendere una palla.
3242263536_a436f19257.jpg,Un uomo su Rollerblades sta facendo un trucco. | Un uomo che cavalca uno skateboard su un mezzo tubo al buio. | Un Rollerskater fa trucchi su un mezzo tubo. | Uno skateboarder esegue un trucco su una rampa. | C'è un ragazzo che indossa una camicia a strisce grigie e bianche e pantaloni neri sullo skateboard sulla superficie nera.,Uno skateboarder fa un trucco su una rampa.
2630507245_bea4804288.jpg,Un levriero a corsa rapida durante una gara. | Un cane levriero sta attraversando una svolta su una pista fangosa. | Dog da corsa levriero che indossa il numero 8. | Il cane con il numero di corse è a metà salto | Il levriero da corsa sta correndo sulla pista.,Un levriero in una gara.
294549892_babb130543.jpg,"2 persone con cappelli bianchi che guardano oltre la montagna | Un gruppo di persone si siede in cima a una scogliera e si guarda sopra il lato. | Tre escursionisti sono seduti su una montagna guardando la vista, uno che usa un paio di binocoli. | Tre uomini seduti su una collina che guardavano le montagne e il cielo. | Tre persone si siedono e guardano le montagne.",Un uomo e una donna si siedono su una montagna.
2300920203_f29260b1db.jpg,Un cane biondo che gioca con un colorato giocattolo per cani. | Un cane soffice che guarda un giocattolo da masticare giallo. | Un cane soffice gioca con un piccolo giocattolo in un soggiorno. | Un soffice cane marrone chiaro che lascia cadere un giocattolo colorato. | Un cane bianco shaggy gioca con un colorato giocattolo da masticare.,Un cane bianco gioca con un giocattolo da masticare.
