image_id,original_captions,generated_caption
2874876837_80d178ba9b.jpg,Um menino pulando em um trampolim. | Um garoto pulando em um trampolim. | Um garoto pula em um trampolim. | Um garotinho em uma camiseta branca de mangas compridas pula em um trampolim. | O garoto pula em trampolim do lado de fora da casa.,Um menino está pulando em um trampolim.
636503038_17ca82b50f.jpg,"Três pescadores caminham sobre pedras em direção à água, lago e céu nublado em segundo plano. | Três pessoas estão de pé em pedras perto de um corpo de água. | Três pessoas estão andando em pedras em direção a um lago. | Três pessoas ficam com postes de pesca nas rochas perto da água. | Três pessoas andando em pedras, indo peixe",Três pessoas em pé em pedras perto da água.
3163068926_d28ed3ef53.jpg,Um homem segurando uma xícara de bicicleta por um elevador. | Um homem segurando uma bebida está descendo uma escada rolante. | Um homem em uma escada rolante carregando um copo vermelho e branco olhando para cima. | Um jovem segurando uma bebida está descendo uma escada rolante verde. | Homem com xícara olhando para cima enquanto andava de escada rolante,Dois homens estão em um trem.
2599131872_65789d86d5.jpg,Duas garotas loiras estão brincando juntas. | Duas garotas se divertem enquanto o vento sopra através dos cabelos. | Duas garotas com cabelos compridos pulando em um trampolim. | Duas meninas loiras giram o cabelo. | Duas meninas estão brincando em um trampolim.,Uma garotinha com cabelos loiros e cabelos loiros está brincando com um brinquedo.
2343879696_59a82f496f.jpg,Uma criança sente que está voando enquanto sua mãe o joga no ar durante um jogo. | Uma mulher em branco está jogando um menino no ar. | Uma mulher está jogando uma criança pequena no ar de brincadeira. | Uma mulher joga uma criança no ar. | A criança gosta de ser jogada no ar por sua mãe.,Uma criança está pulando no ar para pegar uma bola de tênis.
3542771548_fcb8fa0cba.jpg,Um cavalo e um cavaleiro pulando uma pequena cerca. | Um cavalo e um cavaleiro pula sobre uma cerca. | Um cavalo pula sobre uma cerca de madeira. | Um jóquei em um cavalo pula uma cerca. | Uma pessoa a aquário de cavalo pulando sobre uma cerca de madeira.,Um cavalo pula sobre um obstáculo.
3461677493_5bfb73038e.jpg,"Um barbeiro está cortando o cabelo de um homem. | Um belo arranjo de flores com um homem cortando cabelos ao fundo | Um vaso de rosas vermelhas com um homem cortando cabelos ao fundo. | Barbeiro dando um corte de cabelo. | Dois homens, um em branco e outro em azul.",Um grupo de pessoas está esperando em um restaurante.
2196107384_361d73a170.jpg,Um homem vestindo um chapéu preto caminha ao longo de uma estrada ao lado de um prédio. | Um homem mais velho em uma camisa preta de mangas compridas está andando por uma rua de paralelepípedos sozinha. | Um velho caminha pela estrada sem aglomeração. | Uma pessoa andando em frente a um prédio. | O homem está andando perto de um prédio marrom.,Uma mulher fica ao lado de um prédio.
2456615908_59cdac6605.jpg,"Um cachorro preto carrega um pássaro na boca enquanto pula sobre uma cerca. | Um cachorro preto pulando uma cerca de arame com um pássaro morto na boca. | Um cachorro, segurando um pássaro na boca, pulando uma cerca. | Um cachorro tentando pular uma cerca de arame com algo na boca. | O cachorro preto está pulando sobre uma cerca com um pássaro na boca.",Um cachorro preto e branco está pulando em uma cerca.
2089350172_dc2cf9fcf6.jpg,"Três cães pretos estão nadando através de água marrom escura, um com um objeto amarelo na boca. | Três cachorros pretos nadando em água suja | Três cães escuros nadando e um deles tem uma bola. | Três cães estão até o pescoço na água. | Três cães nadam na água.",Dois cães brincam na água.
3116731299_6139b25c18.jpg,Um cachorro carrega um pequeno graveto na boca. | Um cachorro está carregando um pequeno galho na boca. | Um cachorro pequeno pegando um palito pequeno. | Um cachorro pequeno está carregando um graveto na boca. | Um cachorro pequeno está andando na grama verde carregando um graveto na boca.,Um cachorro marrom e branco está carregando um graveto na boca.
3683592946_262e9bfbfd.jpg,Um pássaro está de pé em uma pedra ao lado de seus seis bebês. | Um pato mamãe caminhando por algumas pedras com um grupo de patos de bebê. | Um pato adulto fica em uma pedra com sete patos bebês nas proximidades. | A mãe pássaro olha sobre seus bebês. | Há um pato adulto e vários patos de bebê.,Um grupo de pessoas está sentado em um penhasco.
424869823_7aec015d87.jpg,Uma garotinha segurando a mão dela para que pareça o arco -íris termina na mão. | Uma jovem na frente de um arco -íris. | Meninas posando com arco -íris no céu. | A garota está usando uma roupa azul e estendendo a mão em um arco -íris. | A jovem se inclinou para tocar o arco -íris.,Uma criança em uma camisa azul está andando por uma colina gramada.
1105959054_9c3a738096.jpg,Uma criança pintando uma imagem. | Um artista pinta nuvens em uma tela. | Uma jovem pintando uma imagem. | Uma jovem menina com tranças é pintar com cores de água em um papel branco na parede. | A criança pinta em um papel grande com cores de água.,Uma criança sobe uma parede de pedra.
2158247955_484f0a1f11.jpg,Os três cães estão correndo por uma pista de neve. | Três cães estão correndo na neve com uma pista de pneus. | Três cães estão virando a direção ao longo de um piso de neve que leva de um campo de baixo corte. | Três cães correm na neve. | Três cães correndo em trilhas de pneus na neve.,Dois cães correndo na neve.
2286823363_7d554ea740.jpg,Um menino pulando de uma cadeira para outra. | Um garoto pula de uma cadeira preta para outra. | Um garoto está pulando de uma cadeira para outra. | Um garoto pulando de uma cadeira para outra em sua casa | Um garoto pula de cadeira em cadeira.,Um menino está pulando em um sofá.
2845691057_d4ab89d889.jpg,Uma mulher loira segura um guarda -chuva sobre um motorista de carro. | Um casal lá fora na chuva em uma corrida de estoque em que ele está correndo. | Um homem está sentado em um carro de corrida perto de uma mulher com um guarda -chuva. | Uma mulher segurando um guarda -chuva sobre uma pessoa em um carro de corrida. | Lady segurando guarda -chuva sobre o motorista de carros de corrida.,Uma mulher vestindo uma camisa branca e um chapéu branco está em uma pista de corrida.
842960985_91daf0d6ec.jpg,"Um homem em um casaco bege está andando na chuva. | Um homem em um casaco bronzeado e jeans azul anda com um guarda -chuva preto aberto sobre a cabeça. | Um homem de uma trincheira está andando com um guarda -chuva. | Um homem com cabelos brancos, um longo casaco e um guarda -chuva passa por um medidor de estacionamento. | Homem andando com seu guarda -chuva em uma rua sombria.",Um homem vestindo uma camisa preta e jeans azul está segurando um guarda -chuva.
