image_id,original_captions,generated_caption
2874876837_80d178ba9b.jpg,ટ્રેમ્પોલિન પર ઉછળતો છોકરો. | એક છોકરો ટ્રેમ્પોલિન પર કૂદી રહ્યો છે. | એક છોકરો ટ્રેમ્પોલિન પર કૂદી રહ્યો છે. | સફેદ લાંબી બાંયની ટી-શર્ટ પહેરેલો નાનો છોકરો ટ્રેમ્પોલિન પર કૂદી રહ્યો છે. | છોકરો ઘરની બહાર ટ્રેમ્પોલિન પર કૂદી રહ્યો છે.,એક છોકરો અને છોકરી બહાર દોડી રહ્યા છે.
636503038_17ca82b50f.jpg,"બેકગ્રાઉન્ડમાં ત્રણ માછીમારો ખડકો પર પાણી, તળાવ અને વાદળછાયું આકાશ તરફ ચાલે છે. | ત્રણ લોકો પાણીના શરીર પાસે ખડકો પર ઉભા છે. | ત્રણ લોકો ખડકો પર ચાલીને તળાવ તરફ જઈ રહ્યા છે. | ત્રણ લોકો પાણીની નજીકના ખડકો પર માછીમારીના થાંભલાઓ સાથે ઉભા છે. | ત્રણ લોકો ખડકો સાથે ચાલતા, માછલી પર જવા માટે જતા",બીચ પર લોકોનું જૂથ.
3163068926_d28ed3ef53.jpg,કપ પકડીને એક માણસ એલિવેટર નીચે સવારી કરે છે. | પીણું પકડીને એક માણસ એસ્કેલેટર નીચે આવી રહ્યો છે. | એસ્કેલેટર પર એક માણસ લાલ અને સફેદ કપ લઈને ઉપર જોઈ રહ્યો છે. | પીણું પકડીને એક યુવાન ગ્રીન એસ્કેલેટર નીચે જઈ રહ્યો છે. | એસ્કેલેટર પર સવારી કરતી વખતે કપ સાથેનો માણસ,કાળો પોશાક પહેરેલો એક માણસ ગિટાર વગાડે છે.
2599131872_65789d86d5.jpg,બે સોનેરી છોકરીઓ સાથે રમી રહી છે. | જ્યારે તેમના વાળમાંથી પવન ફૂંકાય છે ત્યારે બે છોકરીઓ આનંદ માણી રહી છે. | લાંબા વાળવાળી બે છોકરીઓ ટ્રેમ્પોલિન પર કૂદી રહી છે. | બે નાની સોનેરી છોકરીઓ તેમના વાળ ફેરવે છે. | બે નાની છોકરીઓ ટ્રેમ્પોલિન પર રમી રહી છે.,બે સોનેરી છોકરીઓ સાથે રમી રહી છે.
2343879696_59a82f496f.jpg,રમત દરમિયાન જ્યારે તેની મમ્મી તેને હવામાં ફેંકી દે છે ત્યારે બાળકને લાગે છે કે તે ઉડી રહ્યો છે. | સફેદ વસ્ત્રોમાં એક સ્ત્રી એક છોકરાને હવામાં ફેંકી રહી છે. | એક મહિલા રમતિયાળ રીતે નાના બાળકને હવામાં ઉછાળી રહી છે. | એક મહિલા એક નવું ચાલવા શીખતું બાળક હવામાં ઉછાળી રહી છે. | બાળકને તેની માતા દ્વારા હવામાં ઉછાળવામાં આનંદ થાય છે.,હવામાં કૂદકો મારે છે.
3542771548_fcb8fa0cba.jpg,એક ઘોડો અને સવાર નાની વાડ કૂદી રહ્યા છે. | ઘોડો અને સવાર વાડ ઉપર કૂદકો મારે છે. | એક ઘોડો લાકડાની વાડ ઉપર કૂદકો મારે છે. | ઘોડા પરનો જોકી વાડ કૂદી રહ્યો છે. | લાકડાની વાડ ઉપર કૂદતો ઘોડો એક વ્યક્તિ.,એક ઘોડા પર સવારી કરે છે.
3461677493_5bfb73038e.jpg,"એક વાળંદ માણસના વાળ કાપી રહ્યો છે. | પૃષ્ઠભૂમિમાં વાળ કાપતા માણસ સાથે ફૂલોની સુંદર ગોઠવણી | પૃષ્ઠભૂમિમાં વાળ કાપતો માણસ સાથે લાલ ગુલાબની ફૂલદાની. | વાળ કાપતો વાળંદ. | બે માણસો, એક સફેદ અને બીજો વાદળી.",એક વૃદ્ધ માણસ એક યુવાન રહ્યો છે.
2196107384_361d73a170.jpg,કાળી ટોપી પહેરેલો એક માણસ બિલ્ડિંગની બાજુમાં રસ્તા પર ચાલે છે. | લાંબી બાંયના કાળા શર્ટમાં એક વૃદ્ધ માણસ એક મોચીની શેરીમાં એકલો ચાલી રહ્યો છે. | એક વૃદ્ધ માણસ ભીડ વગરના રસ્તા પરથી ચાલે છે. | એક વ્યક્તિ બિલ્ડિંગની સામે ચાલી રહી છે. | માણસ ભૂરા મકાનની નજીક ચાલી રહ્યો છે.,કાળી ટોપી પહેરેલો એક માણસ ફૂટપાથ પર ચાલે છે.
2456615908_59cdac6605.jpg,"એક કાળો કૂતરો પક્ષીને તેના મોંમાં લઈ જાય છે કારણ કે તે વાડ પર કૂદી જાય છે. | એક કાળો કૂતરો તેના મોંમાં મૃત પક્ષી સાથે તારની વાડ કૂદી રહ્યો છે. | એક કૂતરો, મોંમાં પક્ષી પકડીને, વાડ કૂદી રહ્યો છે. | એક કૂતરો તેના મોંમાં કંઈક લઈને તારની વાડ કૂદવાનો પ્રયાસ કરી રહ્યો છે. | કાળો કૂતરો તેના મોંમાં પક્ષી સાથે વાડ પર કૂદી રહ્યો છે.",એક કાળો કૂતરો તેના મોંમાં કંઈક ઉપર કૂદી રહ્યો છે.
2089350172_dc2cf9fcf6.jpg,"ત્રણ કાળા કૂતરા કેટલાક ધૂંધળા ભૂરા પાણીમાં તરી રહ્યાં છે, એકના મોંમાં પીળી વસ્તુ છે. | ગંદા પાણીમાં તરતા ત્રણ કાળા કૂતરા | ત્રણ ડાર્ક ડોગ્સ સ્વિમિંગ કરે છે અને તેમાંથી એક પાસે બોલ છે. | ત્રણ કૂતરા પાણીમાં તેમની ગરદન સુધી છે. | ત્રણ કૂતરા પાણીમાં તરી રહ્યા છે.",ત્રણ કૂતરા પાણીમાં તરી રહ્યા છે.
